time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
202223,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background,A level,Level 3,13561,13470,12618,12485,12357,93.046,92.065,91.737
202324,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background,A level,Level 3,14520,14456,13388,13248,13142,92.204,91.24,90.91
201920,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - Any other Mixed background,A level,Level 3,4610,4538,4236,4159,4020,91.887,90.217,88.585
202021,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - Any other Mixed background,A level,Level 3,4706,4661,4454,4419,4340,94.645,93.901,93.113
202122,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - Any other Mixed background,A level,Level 3,5000,4968,4754,4721,4675,95.08,94.42,94.102
202223,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - Any other Mixed background,A level,Level 3,5555,5512,5183,5128,5063,93.303,92.313,91.854
202324,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - Any other Mixed background,A level,Level 3,5802,5777,5388,5329,5280,92.865,91.848,91.397
201920,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - White and Asian,A level,Level 3,3103,3056,2898,2858,2777,93.393,92.104,90.87
202021,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - White and Asian,A level,Level 3,3280,3251,3126,3109,3066,95.305,94.787,94.309
202122,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Asian,A level,Level 3,3492,3476,3352,3322,3303,95.991,95.132,95.023
202223,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Asian,A level,Level 3,3951,3923,3752,3719,3693,94.963,94.128,94.137
202324,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Asian,A level,Level 3,4335,4318,4058,4027,4010,93.61,92.895,92.867
201920,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - White and Black African,A level,Level 3,1315,1290,1192,1170,1125,90.646,88.973,87.209
202021,Academic year,National,E92000001,England,Final,Ethnicity,Mixed Dual background - White and Black African,A level,Level 3,1428,1413,1332,1318,1295,93.277,92.297,91.649
202122,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Black African,A level,Level 3,1596,1589,1502,1490,1481,94.11,93.358,93.203
202223,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Black African,A level,Level 3,1687,1679,1572,1559,1544,93.183,92.413,91.959
202324,Academic year,National,E92000001,England,Revised,Ethnicity,Mixed Dual background - White and Black African,A level,Level 3,1964,1952,1806,1785,1761,91.955,90.886,90.215
